year,st_nm,heatwave_days,median_wbt
2012,Jharkhand,41,23.535534
2012,Karnataka,18,20.3212155
2012,Kerala,39,19.401196
2012,Madhya Pradesh,29,22.330605
2012,Maharashtra,25,21.929491
2012,Manipur,28,16.670602
2012,Meghalaya,19,17.551052
2012,Mizoram,20,18.7285665
2012,NCT of Delhi,32,24.150768499999998
2012,Nagaland,18,16.353353499999997
2012,Odisha,36,23.654375
2012,Puducherry,31,20.438427
2012,Punjab,31,24.302816
2012,Rajasthan,31,23.854033
2012,Sikkim,6,5.508435
2012,Tamil Nadu,41,21.807104
2012,Telangana,36,23.560171
2012,Tripura,13,20.649115
2012,Uttar Pradesh,40,23.8399255
2012,Uttarakhand,39,13.168842
2012,West Bengal,57,22.704304
2013,Andaman & Nicobar Island,30,17.0912485
2013,Andhra Pradesh,30,23.076949
2013,Arunanchal Pradesh,32,12.0776185
2013,Assam,26,20.3921165
2013,Bihar,15,22.506409
2013,Chandigarh,21,22.615837
2013,Chhattisgarh,34,23.0077895
2013,Dadara & Nagar Havelli,14,21.6306095
2013,Goa,10,20.069650000000003
2013,Gujarat,30,23.0834885
2013,Haryana,23,24.228785
2013,Himachal Pradesh,21,11.501309
2013,Jammu & Kashmir,20,10.9370405
2013,Jharkhand,25,22.370178
2013,Karnataka,27,20.719585
2013,Kerala,38,19.0295585
2013,Madhya Pradesh,26,22.748545
2013,Maharashtra,30,22.131905500000002
2013,Manipur,23,16.558706
2013,Meghalaya,28,17.754863999999998
2013,Mizoram,15,18.38105
2013,NCT of Delhi,22,24.376218
2013,Nagaland,22,16.8595525
2013,Odisha,31,23.32509
2013,Puducherry,32,20.598655
2013,Punjab,28,24.4361165
2013,Rajasthan,23,24.127413
2013,Sikkim,18,5.415614250000001
2013,Tamil Nadu,49,22.16291
2013,Telangana,31,24.014385
2013,Tripura,31,20.747578
2013,Uttar Pradesh,24,23.9284075
2013,Uttarakhand,19,13.61205
2013,West Bengal,16,22.305319
2014,Andaman & Nicobar Island,22,17.2946675
2014,Andhra Pradesh,34,22.914724
2014,Arunanchal Pradesh,31,11.500742
2014,Assam,32,19.7192735
2014,Bihar,38,23.562699000000002
2014,Chandigarh,29,22.456686
2014,Chhattisgarh,23,23.663742
2014,Dadara & Nagar Havelli,58,21.5544425
2014,Goa,28,20.1125
2014,Gujarat,35,23.809122
2014,Haryana,35,24.083828
2014,Himachal Pradesh,21,11.479761
2014,Jammu & Kashmir,22,10.3487685
2014,Jharkhand,24,22.9962005
2014,Karnataka,28,20.766038
2014,Kerala,34,20.070661
2014,Madhya Pradesh,22,23.731883500000002
2014,Maharashtra,33,22.419613
2014,Manipur,29,16.541512
2014,Meghalaya,26,17.433386
2014,Mizoram,35,18.82335
2014,NCT of Delhi,39,24.002668
2014,Nagaland,14,16.193298499999997
2014,Odisha,33,22.898352
2014,Puducherry,56,20.636141
2014,Punjab,34,24.313359
2014,Rajasthan,38,24.129569
2014,Sikkim,17,5.3058157
2014,Tamil Nadu,66,22.0685305
2014,Telangana,23,23.755669
2014,Tripura,39,21.197681
2014,Uttar Pradesh,39,23.70503
2014,Uttarakhand,35,13.201224
2014,West Bengal,47,22.867762
2015,Andaman & Nicobar Island,30,16.938148499999997
2015,Andhra Pradesh,22,23.626528999999998
2015,Arunanchal Pradesh,21,11.970522
2015,Assam,16,20.271864
2015,Bihar,31,23.521444
2015,Chandigarh,28,22.028092
2015,Chhattisgarh,27,24.041744
2015,Dadara & Nagar Havelli,48,21.3720955
2015,Goa,21,19.762585
2015,Gujarat,45,23.770956
2015,Haryana,17,24.140396
2015,Himachal Pradesh,39,10.938225
2015,Jammu & Kashmir,34,10.00526
2015,Jharkhand,31,23.493242
2015,Karnataka,25,20.718279
2015,Kerala,17,19.613169
2015,Madhya Pradesh,43,22.833672
2015,Maharashtra,44,22.5360125
2015,Manipur,16,16.344428
2015,Meghalaya,13,17.746868
2015,Mizoram,17,18.8482
2015,NCT of Delhi,16,24.2699565
2015,Nagaland,14,16.327574499999997
2015,Odisha,21,23.9302
2015,Puducherry,20,20.225336
2015,Punjab,19,23.317007
2015,Rajasthan,26,24.614282
2015,Sikkim,7,5.3321457
2015,Tamil Nadu,12,21.7359475
2015,Telangana,26,24.5015765
2015,Tripura,17,20.871946
2015,Uttar Pradesh,37,24.091526
2015,Uttarakhand,27,13.455428
2015,West Bengal,24,22.0899575
2016,Andaman & Nicobar Island,68,17.558843
2016,Andhra Pradesh,49,23.354717
2016,Arunanchal Pradesh,43,11.972373
2016,Assam,33,20.225414
2016,Bihar,30,23.153136500000002
2016,Chandigarh,37,22.292118
2016,Chhattisgarh,49,23.118818
2016,Dadara & Nagar Havelli,22,21.1474775
2016,Goa,40,19.863564500000003
2016,Gujarat,43,23.522945
2016,Haryana,39,24.02451
2016,Himachal Pradesh,26,11.121567500000001
2016,Jammu & Kashmir,26,9.7438795
2016,Jharkhand,50,22.2287755
2016,Karnataka,66,20.886460999999997
2016,Kerala,79,20.07893
2016,Madhya Pradesh,44,23.4348205
2016,Maharashtra,51,22.682465
2016,Manipur,32,16.605521
2016,Meghalaya,27,17.742325
2016,Mizoram,25,18.423252
2016,NCT of Delhi,32,24.446568
2016,Nagaland,37,16.325554
2016,Odisha,39,23.206673
2016,Puducherry,28,20.464122
2016,Punjab,44,23.824858
2016,Rajasthan,46,24.409604
2016,Sikkim,13,5.542098
2016,Tamil Nadu,49,22.351828
2016,Telangana,48,24.2265985
2016,Tripura,28,20.8629215
2016,Uttar Pradesh,32,23.695437499999997
2016,Uttarakhand,16,13.051774
2016,West Bengal,34,22.8236685
2017,Andaman & Nicobar Island,26,16.979622
2017,Andhra Pradesh,50,23.133131
2017,Arunanchal Pradesh,34,12.1993555
2017,Assam,34,20.248004
2017,Bihar,28,23.075572
2017,Chandigarh,33,22.317238
2017,Chhattisgarh,45,23.162079
2017,Dadara & Nagar Havelli,28,21.284857000000002
2017,Goa,29,19.99682
2017,Gujarat,44,23.538936
2017,Haryana,27,23.609636
2017,Himachal Pradesh,25,11.635748
2017,Jammu & Kashmir,27,9.984536
2017,Jharkhand,41,22.641462
2017,Karnataka,57,20.81504
2017,Kerala,10,19.188033
2017,Madhya Pradesh,43,22.781923
