,state_ut,year,deaths,heatwave_days,median_wbt
445,Manipur,2016,0,32,16.605521
446,Meghalaya,2016,0,27,17.742325
447,Mizoram,2016,0,25,18.423252
448,Nagaland,2016,0,37,16.325554
449,Odisha,2016,81,39,23.206673
450,Punjab,2016,145,44,23.824858
451,Rajasthan,2016,51,46,24.409604
452,Sikkim,2016,0,13,5.542098
453,Tamil Nadu,2016,1,49,22.351828
454,Tripura,2016,2,28,20.8629215
455,Uttar Pradesh,2016,114,32,23.6954375
456,Uttarakhand,2016,0,16,13.051774
457,West Bengal,2016,18,34,22.8236685
458,Chandigarh,2016,0,37,22.292118
459,Jammu & Kashmir,2016,1,26,9.7438795
460,Puducherry,2016,0,28,20.464122
461,Andhra Pradesh,2017,411,50,23.133131
462,Assam,2017,0,34,20.248004
463,Bihar,2017,84,28,23.075572
464,Chhattisgarh,2017,11,45,23.162079
465,Goa,2017,0,29,19.99682
466,Gujarat,2017,25,44,23.538936
467,Haryana,2017,24,27,23.609636
468,Himachal Pradesh,2017,0,25,11.635748
469,Jharkhand,2017,51,41,22.641462
470,Karnataka,2017,0,57,20.81504
471,Kerala,2017,1,10,19.188033
472,Madhya Pradesh,2017,34,43,22.781923
473,Maharashtra,2017,102,42,22.584165
474,Manipur,2017,0,29,16.577343
475,Meghalaya,2017,0,29,17.65223
476,Mizoram,2017,0,41,18.65973
477,Nagaland,2017,0,29,16.586164
478,Odisha,2017,99,44,22.759555
479,Punjab,2017,60,26,23.7119405
480,Rajasthan,2017,35,34,24.1300925
481,Sikkim,2017,0,23,5.5880356
482,Tamil Nadu,2017,0,48,21.9041335
483,Tripura,2017,0,25,20.826712
484,Uttar Pradesh,2017,142,38,23.76102
485,Uttarakhand,2017,0,20,13.2929485
486,West Bengal,2017,48,31,21.844055
487,Chandigarh,2017,0,33,22.317238
488,Jammu & Kashmir,2017,0,27,9.984536
489,Puducherry,2017,0,34,20.3140335
490,Andhra Pradesh,2018,204,33,22.663713
491,Assam,2018,0,26,20.325476
492,Bihar,2018,64,35,23.35692
493,Chhattisgarh,2018,1,34,22.786269500000003
494,Goa,2018,0,48,19.9173545
495,Gujarat,2018,31,51,23.911655
496,Haryana,2018,56,26,24.420656
497,Himachal Pradesh,2018,0,31,11.2377
498,Jharkhand,2018,42,29,22.491974
499,Karnataka,2018,0,31,20.698988
500,Kerala,2018,1,31,19.117332
501,Madhya Pradesh,2018,15,52,23.060239
502,Maharashtra,2018,128,40,22.951819
503,Manipur,2018,0,17,16.661144
504,Meghalaya,2018,4,21,18.135344
505,Mizoram,2018,0,12,18.3587985
506,Nagaland,2018,0,31,16.262243
507,Odisha,2018,40,15,22.460274
508,Punjab,2018,38,23,24.282333
509,Rajasthan,2018,43,42,24.340166
510,Sikkim,2018,0,16,5.318830999999999
511,Tamil Nadu,2018,0,16,21.70335
512,Tripura,2018,1,17,21.14022
